Year	Week	Y_LT5,T,NR,PL
2013	35	50.0
2013	36	33.0
2013	37	45.0
2013	38	39.0
2013	39	37.0
2013	40	30.0
2013	41	41.0
2013	42	46.0
2013	43	27.0
2013	44	34.0
2013	45	28.0
2013	46	35.0
2013	47	29.0
2013	48	35.0
2013	49	43.0
2013	50	31.0
2013	51	31.0
2013	52	39.0
2013	53	NaN

2014	1	40.0
2014	2	32.0
2014	3	31.0
2014	4	42.0
2014	5	36.0
2014	6	30.0
2014	7	29.0
2014	8	36.0
2014	9	46.0
2014	10	39.0
2014	11	36.0
2014	12	42.0
2014	13	40.0
2014	14	31.0
2014	15	33.0
2014	16	46.0
2014	17	43.0
2014	18	37.0
2014	19	28.0
2014	20	42.0
2014	21	29.0
2014	22	41.0
2014	23	30.0
2014	24	51.0
2014	25	42.0
2014	26	35.0
2014	27	47.0
2014	28	36.0
2014	29	40.0
2014	30	27.0
2014	31	35.0
2014	32	25.0
2014	33	20.0
2014	34	29.0
2014	35	35.0
2014	36	32.0
2014	37	44.0
2014	38	40.0
2014	39	39.0
2014	40	46.0
2014	41	42.0
2014	42	28.0
2014	43	26.0
2014	44	32.0
2014	45	29.0
2014	46	28.0
2014	47	42.0
2014	48	42.0
2014	49	30.0
2014	50	36.0
2014	51	39.0
2014	52	20.0
2014	53	NaN

2015	1	27.0
2015	2	28.0
2015	3	25.0
2015	4	25.0
2015	5	36.0
2015	6	33.0
2015	7	48.0
2015	8	32.0
2015	9	29.0
2015	10	34.0
2015	11	31.0
2015	12	27.0
2015	13	32.0
2015	14	28.0
2015	15	34.0
2015	16	31.0
2015	17	35.0
2015	18	41.0
2015	19	33.0
2015	20	21.0
2015	21	33.0
2015	22	39.0
2015	23	43.0
2015	24	31.0
2015	25	38.0
2015	26	28.0
2015	27	31.0
2015	28	33.0
2015	29	32.0
2015	30	25.0
2015	31	34.0
2015	32	38.0
2015	33	36.0
2015	34	34.0
2015	35	47.0
2015	36	31.0
2015	37	35.0
2015	38	38.0
2015	39	32.0
2015	40	39.0
2015	41	34.0
2015	42	24.0
2015	43	31.0
2015	44	44.0
2015	45	35.0
2015	46	33.0
2015	47	27.0
2015	48	41.0
2015	49	33.0
2015	50	40.0
2015	51	33.0
2015	52	31.0
2015	53	31.0

2016	1	27.0
2016	2	25.0
2016	3	25.0
2016	4	25.0
2016	5	17.0
2016	6	41.0
2016	7	32.0
2016	8	29.0
2016	9	34.0
2016	10	43.0
2016	11	51.0
2016	12	34.0
2016	13	32.0
2016	14	25.0
2016	15	39.0
2016	16	36.0
2016	17	41.0
2016	18	34.0
2016	19	35.0
2016	20	37.0
2016	21	33.0
2016	22	28.0
2016	23	29.0
2016	24	31.0
2016	25	46.0
2016	26	43.0
2016	27	43.0
2016	28	30.0
2016	29	32.0
2016	30	35.0
2016	31	43.0
2016	32	32.0
2016	33	35.0
2016	34	30.0
2016	35	29.0
2016	36	32.0
2016	37	29.0
2016	38	28.0
2016	39	37.0
2016	40	40.0
2016	41	34.0
2016	42	32.0
2016	43	46.0
2016	44	36.0
2016	45	29.0
2016	46	38.0
2016	47	33.0
2016	48	36.0
2016	49	41.0
2016	50	26.0
2016	51	31.0
2016	52	37.0
2016	53	NaN

2017	1	32.0
2017	2	39.0
2017	3	43.0
2017	4	26.0
2017	5	37.0
2017	6	41.0
2017	7	28.0
2017	8	45.0
2017	9	25.0
2017	10	37.0
2017	11	39.0
2017	12	42.0
2017	13	40.0
2017	14	39.0
2017	15	30.0
2017	16	35.0
2017	17	34.0
2017	18	31.0
2017	19	30.0
2017	20	43.0
2017	21	44.0
2017	22	32.0
2017	23	33.0
2017	24	38.0
2017	25	33.0
2017	26	34.0
2017	27	34.0
2017	28	34.0
2017	29	32.0
2017	30	29.0
2017	31	33.0
2017	32	48.0
2017	33	31.0
2017	34	39.0
2017	35	33.0
2017	36	42.0
2017	37	28.0
2017	38	36.0
2017	39	52.0
2017	40	39.0
2017	41	37.0
2017	42	38.0
2017	43	41.0
2017	44	26.0
2017	45	45.0
2017	46	28.0
2017	47	39.0
2017	48	32.0
2017	49	24.0
2017	50	29.0
2017	51	32.0
2017	52	29.0
2017	53	NaN

2018	1	35.0
2018	2	37.0
2018	3	40.0
2018	4	35.0
2018	5	32.0
2018	6	41.0
2018	7	23.0
2018	8	42.0
2018	9	34.0
2018	10	32.0
2018	11	40.0
2018	12	41.0
2018	13	36.0
2018	14	26.0
2018	15	58.0
2018	16	38.0
2018	17	38.0
2018	18	28.0
2018	19	31.0
2018	20	20.0
2018	21	31.0
2018	22	27.0
2018	23	40.0
2018	24	32.0
2018	25	43.0
2018	26	36.0
2018	27	33.0
2018	28	26.0
2018	29	26.0
2018	30	25.0
2018	31	25.0
2018	32	30.0
2018	33	30.0
2018	34	37.0
2018	35	33.0
2018	36	43.0
2018	37	36.0
2018	38	32.0
2018	39	30.0
2018	40	28.0
2018	41	39.0
2018	42	28.0
2018	43	26.0
2018	44	32.0
